metric,value,unit
cycle,bypass_a_brayton,-
pressure_ratio,2.400000,-
P_low,101325.00,Pa
P_high,243180.00,Pa
x_bypass,0.028066,-
Q_cold,10141.5745,W
hx_load_effectiveness,0.906897,-
Q_aftercooler,39150.0765,W
W_compressor,43509.4598,W
W_expander,14490.0600,W
W_net,29019.3998,W
COP,0.349476,-
Q_recuperator,37197.9485,W
T_load_sec_out,-79.9991,degC
T_load_sec_in,-68.0000,degC
energy_error,1.07e-03,-
mass_flow,0.3820,kg/s
y_sec,0.955333,-
mdot_load_sec,0.036940,kg/s
T_chuck_sec_in,30.0000,degC
T_chuck_sec_out,30.0000,degC
T_load_sec_in_ls,35.8705,degC
T_load_sec_out_ls,-95.5246,degC
Q_chuck,0.00,W
Q_heater,6000.00,W
