T_sec_out_target_K,T_sec_out_target_degC,x_bypass,COP,W_net_kW,T_expander_out_degC
268.1500,-5.0000,0.215064,0.429520,22.5272,-22.4524
268.4776,-4.6724,0.223805,0.417998,22.3961,-21.5599
268.8052,-4.3448,0.232606,0.406328,22.2652,-20.6670
269.1328,-4.0172,0.241451,0.394532,22.1349,-19.7754
269.4603,-3.6897,0.250381,0.382551,22.0046,-18.8811
269.7879,-3.3621,0.259375,0.370412,21.8747,-17.9862
270.1155,-3.0345,0.268434,0.358115,21.7451,-17.0909
270.4431,-2.7069,0.277555,0.345658,21.6160,-16.1954
270.7707,-2.3793,0.286740,0.333039,21.4874,-15.2997
271.0983,-2.0517,0.295993,0.320252,21.3593,-14.4035
271.4259,-1.7241,0.305311,0.307295,21.2318,-13.5068
271.7534,-1.3966,0.314695,0.294166,21.1048,-12.6097
272.0810,-1.0690,0.324146,0.280861,20.9783,-11.7121
272.4086,-0.7414,0.333664,0.267378,20.8525,-10.8141
272.7362,-0.4138,0.343247,0.253715,20.7274,-9.9156
273.0638,-0.0862,0.352896,0.239870,20.6029,-9.0166
273.3914,0.2414,0.362610,0.225840,20.4792,-8.1172
273.7190,0.5690,0.372389,0.211623,20.3561,-7.2173
274.0466,0.8966,0.382229,0.197217,20.2338,-6.3169
274.3741,1.2241,0.392121,0.182651,20.1125,-5.4180
274.7017,1.5517,0.402095,0.167833,19.9916,-4.5150
275.0293,1.8793,0.412120,0.152846,19.8716,-3.6131
275.3569,2.2069,0.422205,0.137659,19.7524,-2.7106
275.6845,2.5345,0.432339,0.122283,19.6341,-1.8082
276.0121,2.8621,0.442531,0.106705,19.5167,-0.9052
276.3397,3.1897,0.452720,0.090935,19.4014,-0.0026
276.6672,3.5172,0.463254,0.074990,19.2790,0.9008
276.9948,3.8448,0.473608,0.058764,19.1646,1.8074
277.3224,4.1724,0.483988,0.042368,19.0510,2.7124
277.6500,4.5000,0.494476,0.025755,18.9367,3.6167
