metric,value,unit
cycle,bypass_a_brayton,-
pressure_ratio,2.400000,-
P_low,101325.00,Pa
P_high,243180.00,Pa
x_bypass,0.591534,-
Q_cold,0.0000,W
hx_load_effectiveness,0.000000,-
Q_aftercooler,18586.8049,W
W_compressor,43617.6269,W
W_expander,25028.0930,W
W_net,18589.5339,W
COP,0.000000,-
Q_recuperator,-1221.2800,W
T_load_sec_out,30.0000,degC
T_load_sec_in,30.0000,degC
energy_error,nan,-
mass_flow,0.3820,kg/s
y_sec,0.000000,-
mdot_load_sec,0.827000,kg/s
T_chuck_sec_in,30.0000,degC
T_chuck_sec_out,30.0000,degC
T_load_sec_in,30.0000,degC
T_load_sec_out,30.0000,degC
Q_chuck,0.00,W
Q_heater,0.01,W
