pressure_ratio,COP,Q_cold_kW,T_expander_out_degC
2.0000,0.385123,8.4886,-97.9716
2.3898,0.368336,10.9626,-104.5172
2.7797,0.349535,12.9619,-109.8046
3.1695,0.331880,14.6265,-114.2053
3.5593,0.316113,16.0447,-117.9529
3.9492,0.302085,17.2741,-121.2005
4.3390,0.289586,18.3549,-124.0546
4.7288,0.278320,19.3158,-126.5911
5.1186,0.268225,20.1789,-128.8684
5.5085,0.259078,20.9601,-130.9290
5.8983,0.250743,21.6722,-132.8067
6.2881,0.243107,22.3252,-134.5279
6.6780,0.236080,22.9271,-136.1140
7.0678,0.229536,23.4843,-137.5817
7.4576,0.223500,24.0027,-138.9467
7.8475,0.217877,24.4865,-140.2203
8.2373,0.212621,24.9396,-141.4127
8.6271,0.207692,25.3652,-142.5322
9.0169,0.203058,25.7660,-143.5863
9.4068,0.198690,26.1444,-144.5812
9.7966,0.194562,26.5025,-145.5223
10.1864,0.190619,26.8417,-146.4137
