pressure_ratio,COP,Q_cold_kW,T_expander_out_degC
2.0000,0.000000,0.0000,-19.4970
2.3898,0.000000,0.0000,-28.0365
2.7797,0.000000,0.0000,-34.9588
3.1695,0.000000,0.0000,-40.7384
3.5593,0.000000,0.0000,-45.6814
3.9492,0.000000,0.0000,-49.9680
4.3390,0.000000,0.0000,-53.7434
4.7288,0.000000,0.0000,-57.1066
5.1186,0.000000,0.0000,-60.1310
5.5085,0.000000,0.0000,-62.8728
5.8983,0.000000,0.0000,-65.3757
6.2881,0.000000,0.0000,-67.6741
6.6780,0.000000,0.0000,-69.7959
7.0678,0.000000,0.0000,-71.7638
7.4576,0.000000,0.0000,-73.5965
7.8475,0.000000,0.0000,-75.3095
8.2373,0.010585,0.4322,-76.6449
8.6271,0.020976,0.8912,-77.8605
9.0169,0.030001,1.3229,-79.0026
9.4068,0.037858,1.7290,-80.0781
9.7966,0.044749,2.1125,-81.0938
10.1864,0.050818,2.4756,-82.0551
10.5763,0.056185,2.8199,-82.9667
10.9661,0.060847,3.1432,-83.8226
11.3559,0.065093,3.4546,-84.6473
11.7458,0.068885,3.7516,-85.4334
12.1356,0.072282,4.0351,-86.1839
12.5254,0.075332,4.3061,-86.9014
12.9153,0.078076,4.5655,-87.5882
13.3051,0.080550,4.8142,-88.2465
13.6949,0.082784,5.0528,-88.8781
14.0847,0.084804,5.2820,-89.4848
14.4746,0.086634,5.5024,-90.0683
14.8644,0.088294,5.7145,-90.6298
15.2542,0.089800,5.9189,-91.1708
15.6441,0.091169,6.1160,-91.6925
16.0339,0.092412,6.3062,-92.1960
16.4237,0.093544,6.4899,-92.6822
16.8136,0.094573,6.6675,-93.1522
17.2034,0.095510,6.8392,-93.6068
17.5932,0.096362,7.0055,-94.0468
17.9831,0.097137,7.1665,-94.4729
18.3729,0.097842,7.3226,-94.8860
18.7627,0.098483,7.4739,-95.2865
19.1525,0.099065,7.6208,-95.6751
19.5424,0.099593,7.7633,-96.0524
19.9322,0.100072,7.9018,-96.4189
20.3220,0.100504,8.0364,-96.7751
20.7119,0.100895,8.1673,-97.1214
21.1017,0.101247,8.2946,-97.4583
21.4915,0.101563,8.4185,-97.7862
21.8814,0.101846,8.5391,-98.1054
22.2712,0.102098,8.6566,-98.4164
22.6610,0.102322,8.7712,-98.7194
23.0508,0.102520,8.8828,-99.0148
23.4407,0.102693,8.9917,-99.3029
23.8305,0.102844,9.0979,-99.5839
24.2203,0.102974,9.2015,-99.8582
24.6102,0.103084,9.3027,-100.1259
25.0000,0.103175,9.4016,-100.3874
