T_C,T_K,Tr,P_sat_MPa,rho_liq_kg_m3,mu_liq_mPa_s,nu_liq_mm2_s,Cp_liq_J_kgK,k_liq_mW_mK
-100,173.15,0.82452381,,,,,,
-90,183.15,0.87214286,,,,,,
-80,193.15,0.9197619,,,,,,
-70,203.15,0.96738095,4.50E-05,1642,3.99,2.43,1030,85.2
-60,213.15,1.015,0.000107,1619,2.88,1.78,1050,83.4
-50,223.15,1.06261905,0.000236,1596,2.04,1.28,1070,81.6
-40,233.15,1.1102381,0.000486,1573,1.78,1.13,1090,79.8
-30,243.15,1.15785714,0.000942,1550,1.44,0.93,1110,78
-20,253.15,1.20547619,0.00173,1527,1.11,0.73,1130,76.2
-10,263.15,1.25309524,0.00305,1504,0.95,0.63,1150,74.4
0,273.15,1.30071429,0.00514,1481,0.86,0.58,1170,72.6
5,278.15,1.32452381,0.00658,1470,0.79,0.54,1180,71.7
10,283.15,1.34833333,0.00836,1458,0.73,0.5,1190,70.8
15,288.15,1.37214286,0.0105,1446,0.69,0.48,1200,69.9
20,293.15,1.39595238,0.0131,1435,0.65,0.45,1210,69
25,298.15,1.4197619,0.0163,1425,0.61,0.43,1220,68.1
30,303.15,1.44357143,0.02,1412,0.56,0.4,1230,67.2
35,308.15,1.46738095,0.0245,1400,0.55,0.39,1240,66.3
40,313.15,1.49119048,0.0298,1389,0.53,0.38,1250,65.4
45,318.15,1.515,0.036,1378,0.51,0.37,1260,64.5
50,323.15,1.53880952,0.0432,1366,0.48,0.35,1270,63.7
60,333.15,1.58642857,0.0612,1343,0.43,0.32,1290,61.9
70,343.15,1.63404762,0.085,1320,0.4,0.3,1310,60.1
80,353.15,1.68166667,,,,,,
90,363.15,1.72928571,,,,,,
100,373.15,1.77690476,,,,,,
